svspp,cruise6,station,stratum,tow,svvessel,est_year,est_month,est_day,season,biomass_kg,abundance,haul_id,EPU,hex_id,five_year_period,hauls,spfgr
101,197202,255,1340,4,AL,1972,4,0,Spring,0.5,1,197202_255,SS,388,1970,12,2
101,197208,115,1190,5,AL,1972,10,0,Fall,0.5,1,197208_115,GB,332,1970,22,2
101,197208,294,1390,3,AL,1972,11,0,Fall,3.2,1,197208_294,GOM,325,1970,22,2
101,197303,217,1160,10,AL,1973,4,0,Spring,10.4,1,197303_217,GB,396,1970,31,2
101,197303,244,1260,4,AL,1973,4,0,Spring,3.2,1,197303_244,GOM,260,1970,26,2
101,197308,184,1230,3,AL,1973,10,0,Fall,19.5,2,197308_184,GB,290,1970,36,2
101,197308,190,1250,3,AL,1973,10,0,Fall,4.1,1,197308_190,GB,280,1970,34,2
101,197404,133,1160,7,AL,1974,4,0,Spring,4.5,1,197404_133,GB,406,1970,24,2
101,197404,146,1250,1,AL,1974,4,0,Spring,10.9,2,197404_146,GB,290,1970,36,2
101,197404,164,1200,5,AL,1974,4,0,Spring,1e-04,1,197404_164,SS,375,1970,22,2
101,197404,165,1200,6,AL,1974,4,0,Spring,1e-04,2,197404_165,GB,375,1970,22,2
101,197404,166,1210,1,AL,1974,4,0,Spring,0.9,4,197404_166,GB,375,1970,22,2
101,197404,175,1210,4,AL,1974,4,0,Spring,3.2,1,197404_175,SS,417,1970,27,2
101,197404,257,1390,4,AL,1974,5,0,Spring,4.1,1,197404_257,SS,346,1970,25,2
101,197411,341,1390,4,AL,1974,11,0,Fall,3.2,1,197411_341,SS,325,1970,22,2
101,197503,129,1100,5,AL,1975,3,0,Spring,3.2,1,197503_129,GB,279,1975,29,2
101,197512,281,1210,2,AL,1975,10,0,Fall,1.4,2,197512_281,GB,375,1975,36,2
101,197512,292,1240,3,AL,1975,10,0,Fall,8.2,1,197512_292,GOM,301,1975,32,2
101,197602,309,1260,6,AL,1976,4,0,Spring,0.3,1,197602_309,GOM,260,1975,48,2
101,197602,313,1260,11,AL,1976,4,0,Spring,7,1,197602_313,GOM,260,1975,48,2
101,197602,314,1260,5,AL,1976,4,0,Spring,4.5,1,197602_314,GOM,239,1975,65,2
101,197602,388,1360,6,AL,1976,4,0,Spring,43,1,197602_388,SS,376,1975,10,2
101,197602,399,1390,1,AL,1976,4,29,Spring,3,1,197602_399,SS,357,1975,9,2
101,197602,429,1390,2,AL,1976,5,0,Spring,2.9,1,197602_429,GOM,325,1975,25,2
101,197609,265,1210,3,AL,1976,10,0,Fall,2,1,197609_265,SS,417,1975,41,2
101,197609,269,1210,1,AL,1976,10,0,Fall,0.5,1,197609_269,GB,375,1975,36,2
101,197609,360,1360,4,AL,1976,11,0,Fall,15,1,197609_360,GOM,356,1975,16,2
101,197609,361,1340,4,AL,1976,11,0,Fall,10.5,1,197609_361,GOM,367,1975,23,2
101,197609,381,1370,2,AL,1976,11,0,Fall,11.5,1,197609_381,GOM,313,1975,23,2
101,197609,387,1260,6,AL,1976,11,0,Fall,4.5,1,197609_387,GOM,260,1975,48,2
101,197702,294,1160,1,AL,1977,4,0,Spring,1.6,2,197702_294,GB,386,1975,29,2
101,197702,300,1160,8,AL,1977,4,0,Spring,2,1,197702_300,GB,396,1975,38,2
101,197702,341,1240,1,AL,1977,5,0,Spring,4,1,197702_341,GOM,291,1975,25,2
101,197702,398,1390,5,AL,1977,5,0,Spring,0.6,1,197702_398,SS,357,1975,9,2
101,197702,409,1390,4,AL,1977,5,0,Spring,3.5,1,197702_409,GOM,325,1975,25,2
101,197702,458,1260,1,AL,1977,5,0,Spring,20,1,197702_458,GOM,260,1975,48,2
101,197712,210,1230,1,DE,1977,10,0,Fall,1.9,1,197712_210,GB,280,1975,47,2
101,197712,381,1340,4,DE,1977,11,0,Fall,4,2,197712_381,SS,398,1975,11,2
101,197712,404,1400,1,DE,1977,12,0,Fall,6.5,1,197712_404,GOM,261,1975,28,2
101,197712,418,1260,3,DE,1977,12,0,Fall,4.5,1,197712_418,GOM,239,1975,65,2
101,197804,269,1160,2,AL,1978,4,0,Spring,15,1,197804_269,GB,396,1975,38,2
101,197804,326,1340,3,AL,1978,4,0,Spring,1.7,3,197804_326,SS,398,1975,11,2
101,197804,425,1390,3,AL,1978,5,0,Spring,10.5,3,197804_425,GOM,325,1975,25,2
101,197804,426,1390,1,AL,1978,5,0,Spring,1,1,197804_426,GOM,325,1975,25,2
101,197806,294,1250,3,DE,1978,10,0,Fall,1.2,1,197806_294,GB,280,1975,47,2
101,197806,328,1160,3,DE,1978,10,0,Fall,7,1,197806_328,GB,417,1975,41,2
101,197806,364,1240,12,DE,1978,10,0,Fall,9,1,197806_364,GOM,301,1975,32,2
101,197806,390,1260,10,DE,1978,10,0,Fall,3,1,197806_390,GOM,260,1975,48,2
101,197806,414,1360,9,DE,1978,10,0,Fall,17,1,197806_414,GOM,345,1975,12,2
101,197806,433,1390,5,DE,1978,10,0,Fall,0.7,1,197806_433,SS,357,1975,9,2
101,197806,452,1390,2,DE,1978,11,0,Fall,0.5,1,197806_452,GOM,325,1975,25,2
101,197904,274,1260,4,DE,1979,4,0,Spring,6.2,2,197904_274,GOM,260,1975,48,2
101,197904,342,1160,15,AL,1979,4,0,Spring,23.5,1,197904_342,GB,396,1975,38,2
101,197904,355,1260,3,AL,1979,4,0,Spring,1.9,1,197904_355,GOM,260,1975,48,2
101,197904,419,1340,6,AL,1979,5,0,Spring,0.8,1,197904_419,SS,387,1975,21,2
101,197904,440,1400,3,AL,1979,5,0,Spring,1.5,1,197904_440,GOM,272,1975,20,2
101,197904,449,1240,8,AL,1979,5,0,Spring,14,1,197904_449,GOM,312,1975,24,2
101,197904,456,1390,6,DE,1979,4,0,Spring,6,3,197904_456,SS,346,1975,25,2
101,197904,457,1390,8,DE,1979,4,0,Spring,0.5,1,197904_457,SS,357,1975,9,2
101,197904,458,1390,1,DE,1979,4,0,Spring,6.8,1,197904_458,SS,346,1975,25,2
101,197904,459,1390,7,DE,1979,4,0,Spring,8.5,1,197904_459,SS,346,1975,25,2
101,197904,460,1390,9,DE,1979,4,0,Spring,4.9,1,197904_460,GOM,325,1975,25,2
101,197904,461,1390,4,DE,1979,4,0,Spring,1.8,1,197904_461,GOM,314,1975,23,2
101,197904,462,1390,5,DE,1979,4,0,Spring,12,1,197904_462,GOM,325,1975,25,2
101,197904,488,1220,8,AL,1979,5,0,Spring,17.5,1,197904_488,GB,386,1975,29,2
101,197910,340,1210,2,DE,1979,10,0,Fall,0.5,1,197910_340,GB,375,1975,36,2
101,197910,349,1220,4,DE,1979,10,0,Fall,2.5,1,197910_349,SS,407,1975,22,2
101,197910,512,1370,2,DE,1979,11,0,Fall,0.8,1,197910_512,GOM,292,1975,21,2
101,197910,552,1260,14,AL,1979,11,0,Fall,3.5,1,197910_552,GOM,239,1975,65,2
101,197910,576,1390,5,AL,1979,11,0,Fall,0.5,1,197910_576,GOM,325,1975,25,2
101,197910,601,1400,8,AL,1979,11,0,Fall,10,1,197910_601,GOM,240,1975,23,2
101,197910,640,1260,11,AL,1979,11,0,Fall,4.5,1,197910_640,GOM,260,1975,48,2
101,198002,335,1290,3,DE,1980,5,0,Spring,3.8,1,198002_335,SS,407,1980,11,2
101,198002,371,1390,1,DE,1980,5,0,Spring,9.4,1,198002_371,GOM,325,1980,14,2
101,198002,575,1130,7,AL,1980,4,0,Spring,1.2,1,198002_575,GB,353,1980,25,2
101,198002,591,1160,2,AL,1980,4,0,Spring,4.4,2,198002_591,SS,417,1980,25,2
101,198002,598,1220,1,AL,1980,4,0,Spring,8.5,1,198002_598,SS,407,1980,11,2
101,198002,609,1200,4,AL,1980,4,0,Spring,60,1,198002_609,GB,354,1980,35,2
101,198007,311,1210,3,DE,1980,10,0,Fall,1.9,1,198007_311,GB,386,1980,28,2
101,198007,374,1340,3,DE,1980,11,0,Fall,2.8,1,198007_374,SS,388,1980,15,2
101,198007,375,1340,2,DE,1980,11,0,Fall,10.6,2,198007_375,SS,377,1980,19,2
101,198007,379,1390,1,DE,1980,11,0,Fall,1.1,1,198007_379,GOM,325,1980,14,2
101,198102,342,1240,1,DE,1981,5,0,Spring,3.5,1,198102_342,GOM,291,1980,20,2
101,198102,364,1210,2,DE,1981,5,0,Spring,2.6,1,198102_364,GB,375,1980,23,2
101,198102,393,1390,2,DE,1981,5,0,Spring,2.2,2,198102_393,SS,346,1980,15,2
101,198106,359,1300,2,DE,1981,10,0,Fall,32,1,198106_359,SS,386,1980,28,2
101,198106,396,1340,4,DE,1981,11,0,Fall,5.5,1,198106_396,SS,388,1980,15,2
101,198106,399,1340,3,DE,1981,11,0,Fall,6.5,1,198106_399,SS,398,1980,8,2
101,198106,402,1340,5,DE,1981,11,0,Fall,4,1,198106_402,SS,398,1980,8,2
101,198106,517,1400,1,AL,1981,11,0,Fall,9,1,198106_517,GOM,251,1980,5,2
101,198106,525,1390,3,AL,1981,11,0,Fall,2.5,1,198106_525,GOM,325,1980,14,2
101,198106,539,1260,6,AL,1981,11,0,Fall,6.5,1,198106_539,GOM,260,1980,17,2
101,198202,325,1220,3,DE,1982,4,0,Spring,17,2,198202_325,GB,396,1980,26,2
101,198202,432,1260,2,DE,1982,5,0,Spring,5.4,1,198202_432,GOM,239,1980,35,2
101,198206,343,1340,2,AL,1982,10,0,Fall,10.2,1,198206_343,SS,387,1980,15,2
101,198206,356,1240,1,AL,1982,10,0,Fall,1.8,1,198206_356,GOM,291,1980,20,2
101,198206,403,1270,4,AL,1982,11,0,Fall,18,1,198206_403,GOM,250,1980,26,2
101,198303,317,1160,6,AL,1983,4,0,Spring,31,1,198303_317,SS,417,1980,25,2
101,198303,364,1200,1,AL,1983,4,0,Spring,27,1,198303_364,GB,354,1980,35,2
101,198303,413,1390,1,AL,1983,4,0,Spring,8.5,1,198303_413,SS,325,1980,14,2
101,198303,415,1380,3,AL,1983,4,0,Spring,8.4,1,198303_415,GOM,314,1980,15,2
101,198402,321,1210,3,AL,1984,4,0,Spring,5.8,1,198402_321,SS,417,1980,25,2
101,198402,367,1390,2,AL,1984,4,0,Spring,0.7,1,198402_367,SS,346,1980,15,2
101,198405,419,1390,1,AL,1984,11,0,Fall,22.5,1,198405_419,SS,346,1980,15,2
101,198502,297,1160,10,AL,1985,4,0,Spring,1,1,198502_297,GB,396,1985,27,2
101,198502,338,1340,2,AL,1985,4,0,Spring,2,1,198502_338,SS,398,1985,12,2
101,198502,339,1340,5,AL,1985,4,0,Spring,0.8,1,198502_339,SS,398,1985,12,2
101,198502,343,1340,4,AL,1985,4,0,Spring,0.4,1,198502_343,SS,388,1985,20,2
101,198502,350,1380,4,AL,1985,4,0,Spring,3.5,1,198502_350,SS,346,1985,19,2
101,198508,363,1380,1,AL,1985,11,0,Fall,6.9,1,198508_363,GOM,325,1985,10,2
101,198603,310,1340,6,AL,1986,4,0,Spring,0.7,1,198603_310,SS,398,1985,12,2
101,198603,311,1340,5,AL,1986,4,0,Spring,0.8,1,198603_311,SS,398,1985,12,2
101,198606,294,1370,1,AL,1986,10,0,Fall,8,1,198606_294,GOM,313,1985,18,2
101,198606,297,1290,6,AL,1986,10,0,Fall,17,1,198606_297,GOM,334,1985,8,2
101,198606,346,1390,3,AL,1986,11,0,Fall,0.8,1,198606_346,SS,346,1985,19,2
101,198702,260,1160,2,AL,1987,4,0,Spring,32,1,198702_260,SS,417,1985,27,2
101,198702,282,1340,1,AL,1987,4,0,Spring,0.7,1,198702_282,SS,398,1985,12,2
101,198702,285,1340,4,AL,1987,4,0,Spring,2.2,1,198702_285,SS,388,1985,20,2
101,198702,286,1351,2,AL,1987,4,0,Spring,0.6,1,198702_286,SS,388,1985,20,2
101,198705,230,1240,3,AL,1987,10,0,Fall,1.6,1,198705_230,GOM,291,1985,14,2
101,198705,252,1220,2,AL,1987,10,0,Fall,1.7,1,198705_252,SS,386,1985,25,2
101,198705,317,1370,3,AL,1987,10,0,Fall,0.5,1,198705_317,GOM,292,1985,19,2
101,198801,248,1230,1,AL,1988,4,0,Spring,1e-04,1,198801_248,GB,311,1985,28,2
101,198801,265,1340,5,AL,1988,4,0,Spring,1.4,1,198801_265,SS,387,1985,18,2
101,198801,273,1340,1,AL,1988,4,0,Spring,4.5,3,198801_273,SS,387,1985,18,2
101,198801,275,1380,5,AL,1988,4,0,Spring,1.5,2,198801_275,SS,346,1985,19,2
101,198901,254,1340,5,DE,1989,4,0,Spring,0.6,1,198901_254,SS,387,1985,18,2
101,198901,257,1351,1,DE,1989,4,0,Spring,17,2,198901_257,SS,388,1985,20,2
101,198901,258,1351,2,DE,1989,4,0,Spring,0.2,1,198901_258,SS,388,1985,20,2
101,198904,191,1250,3,DE,1989,10,0,Fall,0.3,1,198904_191,GB,290,1985,27,2
101,198904,203,1230,2,DE,1989,10,0,Fall,1e-04,1,198904_203,GB,301,1985,16,2
101,198904,262,1260,2,DE,1989,10,0,Fall,0.9,1,198904_262,GOM,239,1985,25,2
101,198904,278,1210,4,DE,1989,10,0,Fall,1.1,2,198904_278,GOM,354,1985,35,2
101,198904,295,1160,1,DE,1989,10,0,Fall,4.8,1,198904_295,SS,417,1985,27,2
101,198904,312,1390,2,DE,1989,10,0,Fall,1.6,1,198904_312,SS,357,1985,9,2
101,198904,334,1390,3,DE,1989,11,0,Fall,0.2,1,198904_334,GOM,325,1985,10,2
101,199002,220,1370,4,DE,1990,4,0,Spring,5,2,199002_220,GOM,292,1990,9,2
101,199002,301,1340,2,DE,1990,4,0,Spring,0.7,1,199002_301,SS,398,1990,16,2
101,199002,302,1340,3,DE,1990,4,0,Spring,2,1,199002_302,SS,377,1990,16,2
101,199004,184,1250,1,DE,1990,10,0,Fall,1.7,1,199004_184,GB,280,1990,29,2
101,199004,208,1190,9,DE,1990,10,0,Fall,1e-04,1,199004_208,GB,353,1990,22,2
101,199004,247,1170,3,DE,1990,10,0,Fall,1.5,1,199004_247,SS,438,1990,13,2
101,199004,260,1210,2,DE,1990,10,0,Fall,4.7,2,199004_260,GB,386,1990,38,2
101,199004,308,1390,1,DE,1990,10,0,Fall,3.6,2,199004_308,SS,357,1990,10,2
101,199004,309,1390,2,DE,1990,10,0,Fall,2.5,2,199004_309,SS,357,1990,10,2
101,199004,330,1260,7,DE,1990,10,0,Fall,1.2,1,199004_330,GOM,250,1990,18,2
101,199102,180,1100,1,DE,1991,3,0,Spring,5.5,1,199102_180,GB,258,1990,19,2
101,199102,246,1210,1,DE,1991,4,0,Spring,1,1,199102_246,GB,375,1990,25,2
101,199102,291,1380,1,DE,1991,4,0,Spring,3.8,2,199102_291,SS,346,1990,17,2
101,199102,299,1340,4,DE,1991,4,0,Spring,1.5,2,199102_299,SS,398,1990,16,2
101,199102,301,1340,6,DE,1991,4,0,Spring,3.6,3,199102_301,SS,398,1990,16,2
101,199102,306,1340,5,DE,1991,4,0,Spring,6.5,1,199102_306,SS,387,1990,13,2
101,199105,266,1240,4,DE,1991,10,0,Fall,15.5,1,199105_266,GOM,312,1990,15,2
101,199105,318,1390,1,DE,1991,10,0,Fall,1.2,1,199105_318,SS,357,1990,10,2
101,199105,326,1390,2,DE,1991,10,0,Fall,5.2,1,199105_326,GOM,325,1990,9,2
101,199105,344,1260,3,DE,1991,10,0,Fall,2.5,2,199105_344,GOM,261,1990,21,2
101,199202,276,1360,7,AL,1992,4,0,Spring,0.9,1,199202_276,SS,387,1990,13,2
101,199202,283,1360,2,AL,1992,4,0,Spring,1.5,1,199202_283,GOM,346,1990,17,2
101,199206,264,1240,4,AL,1992,10,0,Fall,10.1,1,199206_264,GOM,312,1990,15,2
101,199206,329,1390,3,AL,1992,10,0,Fall,12.8,1,199206_329,GOM,293,1990,15,2
101,199302,243,1220,3,AL,1993,4,0,Spring,1.7,1,199302_243,SS,417,1990,20,2
101,199302,287,1340,6,AL,1993,4,0,Spring,0.6,1,199302_287,SS,387,1990,13,2
101,199302,288,1340,2,AL,1993,4,0,Spring,2.3,2,199302_288,SS,398,1990,16,2
101,199306,323,1390,2,DE,1993,10,0,Fall,2.4,1,199306_323,SS,325,1990,9,2
101,199306,324,1390,1,DE,1993,10,0,Fall,3,1,199306_324,SS,346,1990,17,2
101,199306,325,1390,4,DE,1993,10,0,Fall,5.1,1,199306_325,SS,357,1990,10,2
101,199402,212,1190,8,DE,1994,4,0,Spring,2.1,1,199402_212,GB,364,1990,14,2
101,199503,216,1210,2,AL,1995,4,0,Spring,0.9,1,199503_216,GB,407,1995,23,2
101,199503,288,1340,1,AL,1995,4,0,Spring,0.2,1,199503_288,SS,398,1995,9,2
101,199503,307,1390,6,AL,1995,4,0,Spring,0.5,1,199503_307,GOM,293,1995,16,2
101,199507,324,1380,1,AL,1995,10,0,Fall,6,1,199507_324,GOM,303,1995,18,2
101,199602,282,1170,4,AL,1996,4,0,Spring,1.8,1,199602_282,SS,438,1995,17,2
101,199602,304,1340,4,AL,1996,4,0,Spring,7.8,4,199602_304,SS,387,1995,19,2
101,199602,309,1340,1,AL,1996,4,0,Spring,8.4,1,199602_309,GOM,377,1995,15,2
101,199602,312,1340,5,AL,1996,4,0,Spring,0.8,1,199602_312,SS,388,1995,16,2
101,199602,318,1390,5,AL,1996,4,0,Spring,1.1,1,199602_318,SS,346,1995,16,2
101,199604,284,1390,5,AL,1996,10,0,Fall,12.1,1,199604_284,SS,357,1995,11,2
101,199702,299,1270,2,AL,1997,4,0,Spring,2.2,1,199702_299,GOM,250,1995,31,2
101,199702,311,1380,3,AL,1997,4,0,Spring,2.4,1,199702_311,SS,346,1995,16,2
101,199702,312,1390,1,AL,1997,4,0,Spring,3.1,1,199702_312,SS,357,1995,11,2
101,199706,257,1210,3,AL,1997,10,0,Fall,1.1,2,199706_257,GB,333,1995,40,2
101,199706,318,1380,2,AL,1997,10,0,Fall,7.4,1,199706_318,GOM,346,1995,16,2
101,199706,321,1390,1,AL,1997,10,0,Fall,3.6,1,199706_321,GOM,325,1995,17,2
101,199706,326,1260,3,AL,1997,10,0,Fall,5.9,3,199706_326,GOM,261,1995,26,2
101,199802,269,1220,3,AL,1998,4,0,Spring,0.5,1,199802_269,SS,407,1995,23,2
101,199802,289,1300,4,AL,1998,4,0,Spring,1.7,1,199802_289,SS,386,1995,26,2
101,199802,296,1340,3,AL,1998,4,0,Spring,0.5,1,199802_296,SS,398,1995,9,2
101,199802,302,1351,1,AL,1998,4,0,Spring,4.9,1,199802_302,SS,388,1995,16,2
101,199802,303,1340,1,AL,1998,4,0,Spring,5.8,1,199802_303,SS,388,1995,16,2
101,199802,355,1390,6,AL,1998,4,0,Spring,0.5,1,199802_355,GOM,325,1995,17,2
101,199802,373,1400,1,AL,1998,4,0,Spring,1,1,199802_373,GOM,240,1995,17,2
101,199804,252,1160,1,AL,1998,10,0,Fall,1.8,1,199804_252,SS,417,1995,29,2
101,199804,269,1340,3,AL,1998,10,0,Fall,9.6,1,199804_269,SS,377,1995,15,2
101,199804,275,1390,4,AL,1998,10,0,Fall,5,1,199804_275,SS,357,1995,11,2
101,199804,276,1390,2,AL,1998,10,0,Fall,2.2,2,199804_276,SS,346,1995,16,2
101,199804,279,1390,8,AL,1998,10,0,Fall,0.4,1,199804_279,GOM,325,1995,17,2
101,199804,286,1360,9,AL,1998,10,0,Fall,0.9,1,199804_286,GOM,356,1995,13,2
101,199804,340,1380,4,AL,1998,11,0,Fall,5.8,3,199804_340,GOM,303,1995,18,2
101,199902,197,1250,4,AL,1999,4,0,Spring,2.6,1,199902_197,GB,290,1995,36,2
101,199902,287,1390,4,AL,1999,4,0,Spring,52.7,2,199902_287,SS,357,1995,11,2
101,199908,244,1210,3,AL,1999,10,0,Fall,1.7,1,199908_244,SS,407,1995,23,2
101,199908,245,1210,1,AL,1999,10,0,Fall,2.9,1,199908_245,SS,417,1995,29,2
101,199908,266,1340,4,AL,1999,10,0,Fall,6.2,2,199908_266,SS,387,1995,19,2
101,200002,300,1340,3,AL,2000,4,0,Spring,1.1,1,200002_300,SS,398,2000,15,2
101,200102,255,1340,6,AL,2001,4,33,Spring,0.99,1,200102_255,SS,387,2000,16,2
101,200102,259,1340,2,AL,2001,4,21,Spring,4.29,3,200102_259,SS,398,2000,15,2
101,200102,295,1380,4,AL,2001,4,54,Spring,1.06,1,200102_295,SS,346,2000,28,2
101,200102,298,1380,5,AL,2001,4,31,Spring,9.48,2,200102_298,GOM,325,2000,15,2
101,200109,278,1390,5,AL,2001,10,33,Fall,2.33,1,200109_278,SS,357,2000,5,2
101,200109,280,1390,6,AL,2001,10,58,Fall,3.38,1,200109_280,SS,346,2000,28,2
101,200109,321,1360,3,AL,2001,10,41,Fall,12.95,1,200109_321,GOM,355,2000,11,2
101,200109,333,1390,1,AL,2001,10,56,Fall,4.51,1,200109_333,GOM,314,2000,13,2
101,200202,291,1390,2,AL,2002,4,34,Spring,3.23,1,200202_291,SS,357,2000,5,2
101,200202,297,1390,1,AL,2002,4,20,Spring,5.85,1,200202_297,SS,346,2000,28,2
101,200202,298,1390,3,AL,2002,4,51,Spring,20.03,1,200202_298,SS,346,2000,28,2
101,200209,217,1210,3,AL,2002,10,1,Fall,1.28,1,200209_217,GB,396,2000,20,2
101,200209,303,1340,5,AL,2002,10,26,Fall,2.93,1,200209_303,SS,388,2000,25,2
101,200303,275,1340,2,DE,2003,4,46,Spring,1.82,4,200303_275,SS,387,2000,16,2
101,200303,276,1340,5,DE,2003,4,12,Spring,1.98,6,200303_276,SS,387,2000,16,2
101,200303,282,1340,3,DE,2003,4,56,Spring,0.66,1,200303_282,SS,398,2000,15,2
101,200303,287,1390,4,DE,2003,4,23,Spring,9.04,4,200303_287,SS,357,2000,5,2
101,200303,289,1380,3,DE,2003,4,39,Spring,0.18,1,200303_289,GOM,346,2000,28,2
101,200306,330,1390,1,AL,2003,10,22,Fall,4.85,3,200306_330,SS,346,2000,28,2
101,200306,334,1390,2,AL,2003,10,56,Fall,3.77,2,200306_334,GOM,325,2000,15,2
101,200306,336,1370,3,AL,2003,10,5,Fall,0.123,1,200306_336,GOM,292,2000,16,2
101,200402,293,1340,4,AL,2004,4,21,Spring,36.23,2,200402_293,SS,388,2000,25,2
101,200402,299,1380,4,AL,2004,4,5,Spring,8.54,1,200402_299,GOM,335,2000,11,2
101,200402,310,1270,4,AL,2004,4,48,Spring,0.54,1,200402_310,GOM,261,2000,14,2
101,200407,216,1210,2,AL,2004,10,42,Fall,0.476,1,200407_216,GB,386,2000,26,2
101,200407,281,1390,3,AL,2004,10,35,Fall,3.34,1,200407_281,SS,346,2000,28,2
101,200407,285,1390,2,AL,2004,10,44,Fall,3.76,1,200407_285,GOM,325,2000,15,2
101,200407,286,1390,1,AL,2004,10,39,Fall,7.96,4,200407_286,GOM,304,2000,5,2
101,200503,227,1170,1,AL,2005,4,20,Spring,0.4,1,200503_227,SS,438,2005,12,2
101,200503,232,1220,1,AL,2005,4,11,Spring,0.86,1,200503_232,SS,386,2005,34,2
101,200503,267,1340,2,AL,2005,4,44,Spring,5.86,4,200503_267,SS,387,2005,13,2
101,200503,270,1340,1,AL,2005,4,16,Spring,8.74,6,200503_270,SS,398,2005,15,2
101,200503,272,1340,6,AL,2005,4,37,Spring,21.5,1,200503_272,SS,377,2005,19,2
101,200503,275,1351,1,AL,2005,4,28,Spring,17.2,2,200503_275,SS,388,2005,16,2
101,200503,291,1370,1,AL,2005,4,55,Spring,1.24,1,200503_291,GOM,303,2005,17,2
101,200510,227,1210,2,AL,2005,10,6,Fall,4.58,2,200510_227,GB,386,2005,34,2
101,200510,271,1340,6,AL,2005,10,33,Fall,10.4,9,200510_271,SS,387,2005,13,2
101,200510,285,1390,1,AL,2005,10,17,Fall,6.94,1,200510_285,SS,346,2005,23,2
101,200510,292,1380,3,AL,2005,10,44,Fall,3.56,1,200510_292,GOM,314,2005,15,2
101,200510,296,1250,2,AL,2005,10,22,Fall,0.96,1,200510_296,GB,280,2005,36,2
101,200604,203,1170,2,AL,2006,3,28,Spring,12.54,4,200604_203,GB,395,2005,44,2
101,200604,227,1210,4,AL,2006,4,21,Spring,3.5,1,200604_227,GB,365,2005,31,2
101,200604,267,1230,1,AL,2006,4,47,Spring,1.14,1,200604_267,GOM,270,2005,19,2
101,200604,291,1340,1,AL,2006,4,45,Spring,11.02,3,200604_291,SS,398,2005,15,2
101,200604,300,1380,2,AL,2006,4,52,Spring,12.94,2,200604_300,SS,346,2005,23,2
101,200604,301,1390,4,AL,2006,4,30,Spring,7.46,3,200604_301,SS,346,2005,23,2
101,200604,302,1390,1,AL,2006,4,57,Spring,1.74,2,200604_302,SS,346,2005,23,2
101,200604,303,1380,5,AL,2006,4,19,Spring,5.3,1,200604_303,SS,325,2005,13,2
101,200604,307,1390,3,AL,2006,4,31,Spring,3.64,1,200604_307,GOM,325,2005,13,2
101,200604,308,1390,2,AL,2006,4,38,Spring,1.2,1,200604_308,GOM,314,2005,15,2
101,200610,234,1160,14,AL,2006,10,59,Fall,2.52,1,200610_234,GB,406,2005,37,2
101,200610,296,1340,1,AL,2006,10,43,Fall,1.42,2,200610_296,SS,387,2005,13,2
101,200610,302,1340,6,AL,2006,10,51,Fall,0.98,1,200610_302,SS,398,2005,15,2
101,200610,311,1390,3,AL,2006,10,37,Fall,2.94,2,200610_311,SS,346,2005,23,2
101,200610,312,1390,1,AL,2006,10,24,Fall,0.68,1,200610_312,SS,325,2005,13,2
101,200703,239,1160,7,AL,2007,4,10,Spring,1.66,1,200703_239,SS,427,2005,11,2
101,200703,245,1290,7,AL,2007,4,40,Spring,1.72,2,200703_245,SS,428,2005,5,2
101,200703,260,1230,1,AL,2007,4,32,Spring,1.26,1,200703_260,GOM,270,2005,19,2
101,200703,298,1340,3,AL,2007,4,20,Spring,1.648,4,200703_298,SS,387,2005,13,2
